Activity Name,Activity Description (2-3 sentences minimum)*,Types of Activities,Funding Agency Categories,Reporting Type,Associated Pod,Associated CfP,Reporter (if non Pop/CfP) or Relevant Member,Deliverable,Reporting Year & Quarter,Activity Location City,Activity Location Country,Activity Collaborators and their Affiliations,Activity Collaborators,Relevant Link,Unreported,Parent Activity
Wampum as a Living Embodiment of Indigenous Data Sovereignty,"In Feb, Jackson and POD members attended online Wampum and Data Presentation hosted by the University of Waterloo.",Workshop (participated in),"Knowledge Mobilization - Events,Research Activity",Pod,Haudenosaunee Pod,,"Jackson Leween Two Bears,Janet Marie Rogers,Cassie Packham,Kelly Greene,Micheal Ziegler,Tanya Doody",,Y2 Q4: Dec 2024-Feb 2025,Online,Online,University of Waterloo,,,,
Abundant Intelligences Presentation at the Wampum Learning Lodge,"In Feb, Jackson gave presentation at the Wampum Learning Lodge, focused on ABINT, with POD members Micheal and Cassie. February, Jackson, Cassie and Micheal presented at the Wampum Learning Lodge on our research, AbINT and demonstrated some proto-types and ongoing prototyping. ","Presentation,Networking","Research Outreach and Products,Knowledge Mobilization - Activities",Pod,Haudenosaunee Pod,,"Jackson Leween Two Bears,Micheal Ziegler,Cassie Packham,Kelly Greene,Tanya Doody",Pod Open House (2 per year),Y2 Q4: Dec 2024-Feb 2025,London,Canada,Wampum Learning Lodge at the University of Western Ontario,,,,
Black Hills Powwow,"The Black Hills Powwow has become one of the premier American Indian cultural events in the United States, attracting thousands of dancers, singers, artisans and several thousand spectators from across several U.S. states, Canadian provinces and beyond. In addition to the powwow, spectators have the opportunity to enjoy a fine arts show, He Sapa Win pageant, style show, vendors, wellness symposium for youth, and tournaments for hand games, golf, and archery. We would like to thank all of our sponsors, volunteers, participants, attendees, head staff and most importantly the creator God Wakantanka for making our celebration possible. Please explore our website to see what may interest you. Also, thank you in advance for attending the 2024 Black Hills Powwow!",Pow-Wow,"Community Outreach,Knowledge Mobilization - Traditional Knowledge Sharing",CfP01,,CfP01.08 Suzanne Kite,"Suzanne Kite,Corey Stover",CfP Community Engagement Activity,Y2 Q3: Sept-Nov 2024,Rapid City,United States,Black Hills Powwow Association,,https://www.blackhillspowwow.com/,,
Postcolonial Critic Yale School of Art,"The Yale School of Art is pleased to announce that Kite has been appointed the Post-Colonial Critic for the Spring 2025 semester. Kite will join MFA students across the four areas of graduate study for critiques, studio visits, and workshops, all executed through a post-colonial lens.

As part of her engagement, Kite will be making three visits to the Interdepartmental Critique course this semester, as well as conducting interdepartmental studio visits. As part of Interdepartmental Day, she will also lead an all-school workshop exploring the concept of collaborating with AI as nonhuman entities, entitled “Dreaming with Nonhumans and AI Workshop.” Participants will delve into their own hallucinations, dreams, and visions as sources of artwork and thought. Students are encouraged to bring their preferred creative mediums, tools, and instruments to engage in discussions and practical exercises.",Presentation at Course,"Student and Learner Recruitment,Knowledge Mobilization - Activities",Pod,Wíhaŋble S’a Pod,,Suzanne Kite,,Y2 Q4: Dec 2024-Feb 2025,New Haven,United States,Yale School of Art,,https://www.art.yale.edu/news/kite-appointed-post-colonial-critic,,
Mentorship of Alexa Velasquez,,Student or Learner Mentorship,Training and Mentoring,CfP01,,CfP01.08 Suzanne Kite,"Suzanne Kite,Alexa Velasquez",,Y2 Q4: Dec 2024-Feb 2025,Annandale-on-Hudson,United States,,,,,
HYBRID | AAS Interior Design Exhibition & Roundtable: Oaye AI / 86 Circles,"HYBRID | AAS Interior Design Exhibition & Roundtable: Oaye AI / 86 Circles

Hoerle Lecture Hall, U L105, and on Zoom
63 5th Ave New York NY 10003
Exhibition & Roundtable: Oaye AI / 86 Circles
Set against the landscape of South Dakota, the Oaye AI / 86 Circles exhibition and roundtable explore how Indigenous perspectives shape relationships with technology and the environment. Created by Lakota youth, this expansive photo series blends images of people, cultural artifacts, natural landscapes, and modern technology, using AI to deepen and enhance each visual story. Rooted in the Lakota concept of kinship, the exhibition invites audiences to rethink AI as a meaningful presence within community life. The roundtable discussion will further examine how non-Western communities understand space, exploring the rich connections between culture, technology, and the land.



In Lakota culture, kinship is the central force that connects community members to each other and their environment. It governs daily life and extends beyond humans to include all beings and elements of the natural world. This exhibition examines how the Lakota view community and environment as interconnected spaces, exploring how technology can be invited into this relational network.



The exhibition features insights from:

Suzanne Kite, an Oglala Lakota artist and scholar whose work engages with Lakota epistemology and contemporary technology;

Sadie Red Wing, a Lakota graphic designer known for her focus on Indigenous visual sovereignty and cultural identity;

Robin Dahlberg, a photographer and educator whose work explores resilience and place.

These collaborators bring unique perspectives to the roundtable, offering discussions that bridge Indigenous and design-focused worldviews.",Roundtable,Research Activity,Pod,Wíhaŋble S’a Pod,,Suzanne Kite,,Y2 Q3: Sept-Nov 2024,New York,United States,The New School,,https://event.newschool.edu/aasinteriordesignroundtable,,
Pit Firing at the Museum of Ontario Archeology,"As part of our community outreach, we have developed a partnership with the Museum of Ontario Archeology. The museum is situated on the Lawson Site which has been occupied since time immemorial and helps ensure our POD research activities remain anchored in the land. In developing this relationship, we have access to venues where the community can engage with AbunINT. The Lawson Site could be an important space for future land-based community engagement here in London, ON. At the end of October 2024, we held a Pit Fire at the museum as part of courses taught by POD members (Jackson 2bears and Tanya Doody). Micheal Ziegler and Cassie Packham participated in the pit firing. ","Pit Firing,Course with Students or Postdocs","Knowledge Mobilization - Traditional Knowledge Sharing,Research Activity,Training and Mentoring",Pod,Haudenosaunee Pod,,"Jackson Leween Two Bears,Tanya Doody,Micheal Ziegler,Cassie Packham",,Y2 Q3: Sept-Nov 2024,London,Canada,Museum of Ontario Archeology,,,,
OCAD University Indigenous Education Council Meeting,"In Feb, Jackson attended OCADU Indigenous Education Council meeting.",Networking Meeting,Knowledge Mobilization - Activities,Pod,Haudenosaunee Pod,,Jackson Leween Two Bears,,Y2 Q4: Dec 2024-Feb 2025,Online,Online,OCAD,Ontario College of Art and Design University (OCAD U),,,
Annual General Meeting 02 NZ,,,,,,,,,,,,,,,,Annual General Meeting 02 NZ
AGM Pod Coordinators Meeting,,,,,,,,,,,,,,,,Annual General Meeting 02 NZ
